2004-01-01,2.165
2004-01-21,2.208
2004-01-24,2.159
2004-01-30,2.117
2004-02-03,2.154
2004-02-13,2.179
2004-02-19,2.204
2004-03-02,2.26
2004-03-06,2.291
2004-03-10,2.254
2004-03-11,2.218
2004-03-17,2.248
2004-03-19,2.323
2004-03-31,2.283
2004-04-03,2.236
2004-04-06,2.206
2004-04-09,2.266
2004-04-17,2.341
2004-04-28,2.367
2004-04-30,2.4
2004-05-12,2.43
2004-05-14,2.46
2004-05-18,2.41
2004-05-25,2.362
2004-05-29,2.262
2004-06-03,2.309
2004-06-05,2.259
2004-06-15,2.303
2004-06-17,2.283
2004-06-19,2.318
2004-06-30,2.264
2004-07-03,2.314
2004-07-06,2.344
2004-07-15,2.31
2004-07-24,2.355
2004-07-29,2.388
2004-07-30,2.418
2004-08-04,2.453
2004-08-06,2.493
2004-08-19,2.521
2004-08-21,2.583
2004-08-27,2.553
2004-08-28,2.501
2004-09-02,2.464
2004-09-04,2.534
2004-09-11,2.552
2004-09-18,2.483
2004-09-21,2.528
2004-09-24,2.565
2004-09-29,2.607
2004-10-02,2.66
2004-10-13,2.725
2004-10-16,2.75
2004-10-20,2.711
2004-10-23,2.758
2004-10-29,2.718
2004-11-03,2.678
2004-11-04,2.641
2004-11-09,2.516
2004-11-19,2.561
2004-11-23,2.656
2004-11-25,2.696
2004-11-27,2.736
2004-11-30,2.704
2004-12-02,2.67
2004-12-03,2.621
2004-12-04,2.551
2004-12-07,2.506
2004-12-08,2.461
2004-12-11,2.513
2004-12-15,2.473
2004-12-17,2.536
2004-12-31,2.456
2005-01-13,2.421
2005-01-19,2.458
2005-01-25,2.487
2005-02-01,2.437
2005-02-05,2.396
2005-02-11,2.446
2005-02-12,2.473
2005-02-16,2.441
2005-02-19,2.489
2005-02-23,2.532
2005-03-03,2.557
2005-03-04,2.592
2005-03-05,2.626
2005-03-09,2.582
2005-03-10,2.634
2005-03-15,2.68
2005-03-17,2.744
2005-03-22,2.7
2005-03-24,2.735
2005-04-02,2.798
2005-04-05,2.83
2005-04-06,2.886
2005-04-08,2.836
2005-04-12,2.74
2005-04-16,2.763
2005-04-20,2.723
2005-04-21,2.765
2005-04-26,2.816
2005-04-28,2.76
2005-05-07,2.684
2005-05-11,2.655
2005-05-12,2.694
2005-05-13,2.658
2005-05-14,2.607
2005-05-17,2.631
2005-05-21,2.668
2005-05-28,2.736
2005-06-03,2.823
2005-06-04,2.849
2005-06-08,2.886
2005-06-09,2.848
2005-06-15,2.895
2005-06-16,2.915
2005-06-18,2.881
2005-06-21,2.91
2005-06-24,2.861
2005-06-25,2.887
2005-06-30,2.912
2005-07-01,2.869
2005-07-02,2.897
2005-07-05,2.931
2005-07-07,2.97
2005-07-08,3.001
2005-07-09,2.981
2005-07-13,2.895
2005-07-14,2.976
2005-07-15,2.954
2005-07-20,2.92
2005-07-23,2.875
2005-07-27,2.905
2005-07-28,2.93
2005-07-30,2.902
2005-08-10,2.967
2005-08-13,3.027
2005-08-17,2.993
2005-08-20,2.945
2005-08-23,3.018
2005-08-24,3.039
2005-08-25,3.008
2005-08-27,3.05
2005-09-01,3.1
2005-09-02,3.15
2005-09-03,3.173
2005-09-06,3.071
2005-09-09,3.008
2005-09-14,2.908
2005-09-16,2.959
2005-09-20,2.895
2005-09-21,3.044
2005-09-22,2.98
2005-09-23,3.044
2005-09-27,2.968
2005-09-28,3.043
2005-09-29,3.083
2005-09-30,3.17
2005-10-01,3.137
2005-10-05,3.16
2005-10-06,3.121
2005-10-07,3.174
2005-10-08,3.1
2005-10-12,3.058
2005-10-13,3.087
2005-10-14,3.108
2005-10-18,3.038
2005-10-19,3.067
2005-10-20,3.013
2005-10-22,2.951
2005-10-25,2.899
2005-10-26,2.924
2005-10-27,2.972
2005-10-28,3.013
2005-11-03,2.963
2005-11-04,2.913
2005-11-11,2.973
2005-11-15,2.921
2005-11-19,2.963
2005-11-22,2.913
2005-11-23,2.871
2005-11-25,2.833
2005-11-30,2.81
2005-12-06,2.865
2005-12-07,2.91
2005-12-08,2.841
2005-12-10,2.878
2005-12-14,2.848
2005-12-17,2.868
